bin,n,p_mean,y_rate,y_lo,y_hi,model
0,596,0.016076419960070646,0.026845637583892617,0.01659071030907676,0.043161064159382916,logistic (baseline)
1,596,0.027169253271905267,0.016778523489932886,0.009138721640295576,0.03060777143387601,logistic (baseline)
2,595,0.03602278031400652,0.04201680672268908,0.028619354207720053,0.06129023123190207,logistic (baseline)
3,596,0.04526734426952142,0.030201342281879196,0.019187573606490076,0.04723262799339896,logistic (baseline)
4,596,0.05557772902066668,0.04194630872483222,0.028571065773085765,0.061188630786806045,logistic (baseline)
5,595,0.06831363710699628,0.07226890756302522,0.05409313595644317,0.09593251356423144,logistic (baseline)
6,596,0.08488607709090071,0.10067114093959731,0.07901354102626774,0.12744363033363793,logistic (baseline)
7,595,0.10722066229244016,0.09411764705882353,0.07319006748221846,0.12025273943032735,logistic (baseline)
8,597,0.14898905379469768,0.16080402010050251,0.13351924951152988,0.19242622430386502,logistic (baseline)
9,595,0.32241873697759166,0.32605042016806723,0.28960438489474033,0.36472824663920794,logistic (baseline)
0,596,0.010547951941182656,0.016778523489932886,0.009138721640295576,0.03060777143387601,logistic (full)
1,596,0.019153841607993986,0.02348993288590604,0.01404298290009692,0.0390403644369334,logistic (full)
2,595,0.026769717838183573,0.01680672268907563,0.009154122778489556,0.0306587425935888,logistic (full)
3,596,0.03503832515828144,0.0436241610738255,0.02994154870733886,0.06315236141826763,logistic (full)
4,596,0.04460131297062575,0.03355704697986577,0.021826186094707357,0.05126244263661104,logistic (full)
5,595,0.05639546851668241,0.06050420168067227,0.04402067333077045,0.0826265068250504,logistic (full)
6,596,0.07324425174823772,0.06040268456375839,0.043946273793554785,0.08248977198919855,logistic (full)
7,595,0.09879624331877386,0.10420168067226891,0.08213888803772232,0.131342606901841,logistic (full)
8,596,0.15682360562498562,0.16946308724832215,0.14148237769459027,0.2016775498596174,logistic (full)
9,596,0.38845925133550946,0.3825503355704698,0.34440123056959016,0.42220381983038213,logistic (full)
0,596,0.010970767325684179,0.013422818791946308,0.0068168195606733515,0.026261246382068865,XGBoost
1,596,0.017853380299654584,0.026845637583892617,0.01659071030907676,0.043161064159382916,XGBoost
2,595,0.025163425599076167,0.03529411764705882,0.023198441172672477,0.053352018915604635,XGBoost
3,596,0.032540264176892354,0.03523489932885906,0.0231593258380247,0.053263516459008384,XGBoost
4,596,0.04188219276600636,0.03355704697986577,0.021826186094707357,0.05126244263661104,XGBoost
5,595,0.05396406363789775,0.05042016806722689,0.03554311988749759,0.07106537224130577,XGBoost
6,596,0.07149008215848832,0.0738255033557047,0.05545157573371465,0.09765817857475612,XGBoost
7,595,0.10023468613875013,0.09747899159663866,0.0761646639092627,0.1239577056789556,XGBoost
8,596,0.15957472215862883,0.16946308724832215,0.14148237769459027,0.2016775498596174,XGBoost
9,596,0.3913668073563768,0.37583892617449666,0.33786565398893287,0.41540254214818073,XGBoost
0,596,0.008547464465268457,0.028523489932885907,0.01788350971430014,0.045202478319874215,StatsBomb xG
1,596,0.019027031535234898,0.020134228187919462,0.01155433589223189,0.03486058431336905,StatsBomb xG
2,595,0.02793586276302521,0.018487394957983194,0.010353733731553325,0.03279891297836128,StatsBomb xG
3,596,0.037619411682885906,0.030201342281879196,0.019187573606490076,0.04723262799339896,StatsBomb xG
4,596,0.04933376065939597,0.030201342281879196,0.019187573606490076,0.04723262799339896,StatsBomb xG
5,595,0.06256924431932773,0.052100840336134456,0.0369443894014652,0.0730038840651744,StatsBomb xG
6,596,0.07866248068624161,0.07046979865771812,0.05255482112975182,0.09388650604728957,StatsBomb xG
7,595,0.10417777931092438,0.08907563025210084,0.06874493357059244,0.11467852932844463,StatsBomb xG
8,596,0.15884391154362418,0.18288590604026847,0.15391386432403814,0.215919771755887,StatsBomb xG
9,596,0.37614231073825505,0.38926174496644295,0.35094460298525304,0.42899730167757794,StatsBomb xG
