ix,iy,n,obs,exp,var,z,qualifies,x_lo,y_lo
0,5,1,0,0.0039674467,0.003951706066682659,-0.06311299416281492,False,60.0,25.0
0,7,3,0,0.0101200666,0.010085647491063558,-0.10077005095966932,False,60.0,35.0
0,8,2,0,0.0089153023,0.00887555889320844,-0.09463204357795668,False,60.0,40.0
0,15,1,0,0.0044258432,0.0044062551119690135,-0.06667472060111018,False,60.0,75.0
1,9,1,0,0.008035453,0.00797088449508479,-0.0900030251989647,False,65.0,45.0
2,6,1,0,0.004721707,0.004699412483006152,-0.06887748024263318,False,70.0,30.0
2,7,2,0,0.011048100000000002,0.01098671415057044,-0.105403172767071,False,70.0,35.0
2,8,1,0,0.0054525062,0.005422776376138962,-0.07404322396153533,False,70.0,40.0
2,9,1,0,0.0048467205,0.00482322980039488,-0.06978771816703089,False,70.0,45.0
3,4,1,0,0.006804785,0.0067584799011037745,-0.08277322848597443,False,75.0,20.0
3,5,1,0,0.0140417265,0.013844556416899198,-0.11933861328666619,False,75.0,25.0
3,6,2,0,0.0133875287,0.013297904025303123,-0.11609374411848238,False,75.0,30.0
3,7,1,0,0.006078651,0.006041701002020199,-0.07820375296476682,False,75.0,35.0
3,8,5,0,0.0281974912,0.028037500650872522,-0.16839950921575217,False,75.0,40.0
3,9,3,0,0.018478274,0.01836330945400428,-0.13635966518033008,False,75.0,45.0
3,10,3,0,0.0196576129,0.019526411804031668,-0.1406758527864576,False,75.0,50.0
3,11,1,0,0.0060845027,0.006047481526893692,-0.07824161621216397,False,75.0,55.0
4,3,1,0,0.007159395,0.007108138063233975,-0.08491773402323989,False,80.0,15.0
4,4,2,0,0.0103985224,0.01034431414496148,-0.1022399859522332,False,80.0,20.0
4,5,9,0,0.0663157561,0.06579903777450963,-0.25852762367410265,False,80.0,25.0
4,6,12,0,0.0862007318,0.08555870609403214,-0.29469912659465836,False,80.0,30.0
4,7,6,0,0.0506497297,0.05015524336287659,-0.2261616484619642,False,80.0,35.0
4,8,26,0,0.2207668448,0.21861555142341427,-0.4721644925747413,True,80.0,40.0
4,9,17,1,0.1453686111,0.14379415345933422,2.2537628990337706,False,80.0,45.0
4,10,10,0,0.0644138179,0.06399162714314202,-0.25463462863471786,False,80.0,50.0
4,11,1,0,0.0058557815,0.005821491323024257,-0.07674811825381665,False,80.0,55.0
5,3,2,0,0.011136592300000001,0.011073972951655572,-0.10582800072909701,False,85.0,15.0
5,4,13,0,0.08677056550000001,0.0861828501933121,-0.29557112286605547,False,85.0,20.0
5,5,20,0,0.2226597772,0.21947174283369497,-0.4752832006043637,True,85.0,25.0
5,6,25,0,0.4586176705,0.4491409796240992,-0.6843203311866458,True,85.0,30.0
5,7,51,1,1.1279726455,1.1014237702827792,-0.121938240884708,True,85.0,35.0
5,8,57,1,1.209962001,1.1829876987498698,-0.19304145786548255,True,85.0,40.0
5,9,25,0,0.483039533,0.4731773245931292,-0.7022159886348451,True,85.0,45.0
5,10,26,0,0.2405116071,0.23796866166872546,-0.49303319013807484,True,85.0,50.0
5,11,13,0,0.1059677131,0.10503423483521766,-0.3269701630621744,False,85.0,55.0
5,12,1,0,0.0066578025,0.006613476165870993,-0.08186834509198393,False,85.0,60.0
6,1,2,0,0.0097557879,0.009707870174366865,-0.09901485820794631,False,90.0,5.0
6,2,2,1,0.010923269,0.010863608599873455,9.489491249746841,False,90.0,10.0
6,3,10,0,0.07090895159999999,0.0703905660970598,-0.26726607474595,False,90.0,15.0
6,4,45,0,0.4139200728,0.4096296203863028,-0.6467267300228706,True,90.0,20.0
6,5,63,0,1.4245855467,1.3876143323161543,-1.2093559492329018,True,90.0,25.0
6,6,81,2,2.464898075,2.3805899074239236,-0.30131132404893407,True,90.0,30.0
6,7,88,3,2.840860957,2.7328995962619507,0.09626422168320249,True,90.0,35.0
6,8,95,2,2.955109746,2.853580250569701,-0.5654031599266374,True,90.0,40.0
6,9,75,2,2.032121766,1.9708083777379848,-0.022881116595726277,True,90.0,45.0
6,10,62,0,1.39454948,1.3602950458968295,-1.195686621266426,True,90.0,50.0
6,11,41,2,0.4274129927,0.4220145827858056,2.4207556493062006,True,90.0,55.0
6,12,7,1,0.0488554081,0.0485081978242037,4.3185601494939485,False,90.0,60.0
6,14,1,0,0.0070897387,0.007039474305165722,-0.0845006627240825,False,90.0,70.0
7,2,3,1,0.0222119826,0.022044858230095887,6.585534900211135,False,95.0,10.0
7,3,15,0,0.1545881503,0.15291381559893344,-0.39532368785879574,False,95.0,15.0
7,4,73,6,1.2669924082,1.239763806035671,4.250771150707995,True,95.0,20.0
7,5,82,3,2.702225752,2.5949492974767,0.18485138047295302,True,95.0,25.0
7,6,152,3,6.880544332,6.526008280513564,-1.5190387022192593,True,95.0,30.0
7,7,139,6,7.249568731,6.813692672910184,-0.4787060083004588,True,95.0,35.0
7,8,109,2,5.236006018,4.956340816410014,-1.4535458629475344,True,95.0,40.0
7,9,136,5,5.871636724,5.584511336570508,-0.36884417677401127,True,95.0,45.0
7,10,117,4,3.610443503,3.4804597560979995,0.20881040881563037,True,95.0,50.0
7,11,54,0,1.0814683176,1.0547725362276643,-1.0530146040072552,True,95.0,55.0
7,12,19,0,0.1769642972,0.1752646781563009,-0.4227060423044908,False,95.0,60.0
7,13,1,0,0.007569579,0.007512280473762759,-0.08733449810997189,False,95.0,65.0
8,2,3,0,0.0204561304,0.020316350142580993,-0.1435161049203803,False,100.0,10.0
8,3,20,0,0.1753024188,0.1737142797021902,-0.4206008524241901,True,100.0,15.0
8,4,72,2,1.6568583895,1.6113476925676058,0.2703203583557801,True,100.0,20.0
8,5,108,7,4.92341901,4.659649383236446,0.9619937585120372,True,100.0,25.0
8,6,135,4,10.329666665,9.179762196296103,-2.08912835786987,True,100.0,30.0
8,7,133,18,13.186600446,11.15257033903989,1.4413333244534903,True,100.0,35.0
8,8,131,6,9.949107814,8.969089678092727,-1.3186356329446012,True,100.0,40.0
8,9,116,16,10.835724014,9.147074996494613,1.7075299250351372,True,100.0,45.0
8,10,132,4,6.442227244,6.053170367706921,-0.99264651675256,True,100.0,50.0
8,11,90,3,2.193859016,2.1298940540594824,0.5523724384057833,True,100.0,55.0
8,12,17,2,0.158285556,0.15678272999180573,4.651287484151546,False,100.0,60.0
8,13,2,0,0.0126790912,0.012596360748583547,-0.11297063781778269,False,100.0,65.0
8,14,1,0,0.005587813,0.005556589345877031,-0.07496140411210442,False,100.0,70.0
9,1,1,0,0.0063287783,0.006288724865229449,-0.07980655886939862,False,105.0,5.0
9,2,2,0,0.013329119,0.01323765344405516,-0.11584997426469679,False,105.0,10.0
9,3,11,1,0.0960266978,0.09517019215237656,2.930253080621369,False,105.0,15.0
9,4,66,4,1.6912453395,1.63466563650455,1.805773679534616,True,105.0,20.0
9,5,138,12,10.310337437,9.19096532972645,0.5573389791793947,True,105.0,25.0
9,6,197,20,23.135977785,18.929066381578583,-0.7207893820032171,True,105.0,30.0
9,7,229,28,25.791658662,20.05411133255634,0.49313348279538494,True,105.0,35.0
9,8,270,29,30.255559949,24.71338164823496,-0.25256395266535214,True,105.0,40.0
9,9,171,19,20.088678618,16.24531455803264,-0.27010687029795,True,105.0,45.0
9,10,141,10,11.3725382665,10.128432343320961,-0.4312740684387489,True,105.0,50.0
9,11,65,2,2.1600090663,1.8994004503454054,-0.11610109684099355,True,105.0,55.0
9,12,19,0,0.16983903549999999,0.16826437900585814,-0.414039162386001,False,105.0,60.0
9,13,2,0,0.010905507799999999,0.010845973635984378,-0.10471565666325248,False,105.0,65.0
10,1,1,0,0.007375095,0.007320702973740975,-0.08619681637446783,False,110.0,5.0
10,2,1,0,0.0073576192,0.007303484639707792,-0.08609387326659611,False,110.0,10.0
10,3,4,0,0.0355750545,0.03525536824590153,-0.18946672421189387,False,110.0,15.0
10,4,28,1,0.5931258025,0.5749294384009476,0.5366027277533892,True,110.0,20.0
10,5,122,10,11.310157702,9.641783013132615,-0.4219343640285813,True,110.0,25.0
10,6,192,27,25.987929497,20.328331654277598,0.22447082289466486,True,110.0,30.0
10,7,329,67,67.37717902,46.13862230927852,-0.05552840725086095,True,110.0,35.0
10,8,375,72,69.500112041,49.41592774069158,0.3556207291500046,True,110.0,40.0
10,9,182,24,24.03762515,19.174290120251683,-0.008592481245172973,True,110.0,45.0
10,10,126,9,10.0835470355,8.820633502958332,-0.36483616294043086,True,110.0,50.0
10,11,46,0,0.8365493705,0.8075037091572158,-0.9309349039508887,True,110.0,55.0
10,12,6,0,0.045369793500000005,0.04502107861855698,-0.21382518416792226,False,110.0,60.0
10,13,1,0,0.008211215,0.008143790948223774,-0.09099009434439302,False,110.0,65.0
11,0,1,0,0.00018,0.00017996760000000002,-0.013417615504740398,False,115.0,0.0
11,3,2,0,0.018400248,0.01823020457158453,-0.13627867595351453,False,115.0,15.0
11,4,10,1,0.1082942553,0.10709788040048306,2.724778016156356,False,115.0,20.0
11,5,35,0,1.54054198,1.416869340143029,-1.2942215772140742,True,115.0,25.0
11,6,89,8,11.3560043005,8.719364139342193,-1.1365278991432508,True,115.0,30.0
11,7,93,33,36.68367288,19.173329638412223,-0.8412639662698905,True,115.0,35.0
11,8,95,44,40.80533643,17.401662180511575,0.7658253933402719,True,115.0,40.0
11,9,74,8,9.7357870985,7.5964980097835415,-0.6297812722083758,True,115.0,45.0
11,10,38,4,1.409033845,1.331781313847004,2.2451495845140665,True,115.0,50.0
11,11,8,0,0.18023878299999999,0.17375851497135764,-0.43238955878259167,False,115.0,55.0
11,12,2,0,0.012089121,0.012014115079328837,-0.11029322369879767,False,115.0,60.0
11,15,3,2,0.00054,0.0005399028,86.0508036031712,False,115.0,75.0
